date,Bronx,Brooklyn,Manhattan,Queens,Staten_Island
2/29/20,0,0,0,0,0
3/1/20,0,0,0,0,0
3/2/20,0,0,0,0,0
3/3/20,0,0,0,0,0
3/4/20,0,0,0,0,0
3/5/20,0,0,0,0,0
3/6/20,0,0,0,0,0
3/7/20,0,0,0,0,0
3/8/20,0,0,0,0,0
3/9/20,0,0,0,0,0
3/10/20,0,0,0,0,0
3/11/20,0,0,0,1,0
3/12/20,0,0,0,0,0
3/13/20,0,0,0,0,0
3/14/20,0,1,0,1,0
3/15/20,1,0,2,1,0
3/16/20,3,1,0,4,0
3/17/20,1,4,0,3,0
3/18/20,1,6,4,9,0
3/19/20,4,6,4,6,4
3/20/20,13,11,11,9,3
3/21/20,12,12,5,14,1
3/22/20,12,10,7,14,6
3/23/20,12,27,7,28,8
3/24/20,14,23,17,35,6
3/25/20,30,37,20,33,4
3/26/20,37,50,29,60,10
3/27/20,36,75,42,58,7
3/28/20,62,78,28,92,13
3/29/20,55,89,35,94,17
3/30/20,75,106,34,99,11
3/31/20,98,126,43,96,22
4/1/20,93,135,59,144,16
4/2/20,96,171,62,139,29
4/3/20,116,143,51,159,29
4/4/20,106,163,63,158,20
4/5/20,123,166,86,181,22
4/6/20,112,169,69,202,24
4/7/20,115,180,92,184,27
4/8/20,114,171,66,183,34
4/9/20,108,188,65,173,25
4/10/20,117,178,69,156,19
4/11/20,132,159,59,164,28
4/12/20,109,200,62,174,26
4/13/20,122,158,71,194,25
4/14/20,111,152,59,161,24
4/15/20,94,132,55,148,24
4/16/20,86,126,55,132,14
4/17/20,88,118,41,122,15
4/18/20,62,116,57,136,19
4/19/20,79,118,48,135,19
4/20/20,78,95,49,125,16
4/21/20,70,92,47,103,11
4/22/20,67,107,37,86,14
4/23/20,58,106,47,106,13
4/24/20,62,93,47,98,14
4/25/20,57,76,40,82,9
4/26/20,54,61,34,89,7
4/27/20,53,86,30,91,9
4/28/20,56,57,35,73,8
4/29/20,40,71,32,80,14
4/30/20,45,65,35,68,11
5/1/20,45,56,24,77,8
5/2/20,49,45,23,61,12
5/3/20,27,45,35,55,15
5/4/20,34,42,19,55,8
5/5/20,26,49,18,46,12
5/6/20,29,38,17,59,8
5/7/20,28,46,23,42,4
5/8/20,22,43,13,48,5
5/9/20,21,28,14,33,3
5/10/20,13,26,19,37,8
5/11/20,27,33,14,27,3
5/12/20,19,33,14,18,6
5/13/20,16,23,8,30,6
5/14/20,11,14,16,23,6
5/15/20,15,27,11,27,6
5/16/20,26,24,10,22,2
5/17/20,19,19,11,26,2
5/18/20,11,17,7,22,2
5/19/20,12,16,10,12,5
5/20/20,15,21,12,24,7
5/21/20,12,15,6,9,3
5/22/20,12,15,5,28,5
5/23/20,17,20,7,14,2
5/24/20,13,12,5,13,5
5/25/20,8,14,12,11,2
5/26/20,10,12,6,9,1
5/27/20,9,10,9,18,2
5/28/20,12,12,3,10,1
5/29/20,6,16,5,14,2
5/30/20,13,10,12,16,1
5/31/20,6,11,4,16,2
6/1/20,3,10,3,16,3
6/2/20,8,6,7,15,1
6/3/20,11,13,7,9,3
6/4/20,4,10,8,9,2
6/5/20,9,6,7,5,1
6/6/20,12,11,1,10,0
6/7/20,7,6,1,10,1
6/8/20,10,13,2,14,0
6/9/20,6,6,8,9,2
6/10/20,9,11,1,9,2
6/11/20,6,4,2,8,1
6/12/20,5,6,3,9,0
6/13/20,5,4,3,2,1
6/14/20,7,6,2,6,2
6/15/20,5,4,3,6,2
6/16/20,2,5,2,7,0
6/17/20,2,6,3,8,0
6/18/20,1,4,4,6,2
6/19/20,3,3,4,3,2
6/20/20,5,3,2,5,2
6/21/20,6,6,3,7,1
6/22/20,1,5,1,8,2
6/23/20,6,5,4,4,0
6/24/20,2,6,2,6,1
6/25/20,4,4,2,4,1
6/26/20,3,3,6,4,1
6/27/20,1,7,2,1,1
6/28/20,3,1,3,4,0
6/29/20,3,4,1,5,3
6/30/20,2,2,2,5,0
7/1/20,1,3,1,3,1
7/2/20,1,3,7,1,3
7/3/20,5,3,0,3,0
7/4/20,1,3,0,0,1
7/5/20,4,2,1,1,0
7/6/20,2,2,1,1,0
7/7/20,1,2,2,1,0
7/8/20,3,3,2,4,2
7/9/20,1,4,1,0,0
7/10/20,3,2,0,1,0
7/11/20,1,2,2,3,0
7/12/20,0,2,0,2,0
7/13/20,5,1,4,4,0
7/14/20,2,4,1,3,0
7/15/20,2,2,1,7,0
7/16/20,1,1,1,3,0
7/17/20,1,0,3,7,0
7/18/20,1,4,2,2,0
7/19/20,1,3,3,0,0
7/20/20,1,3,2,1,0
7/21/20,2,3,0,1,0
7/22/20,2,1,0,4,0
7/23/20,0,3,0,5,0
7/24/20,1,2,0,1,1
7/25/20,6,2,1,2,0
7/26/20,1,4,0,2,0
7/27/20,1,1,1,1,0
7/28/20,5,1,2,3,0
7/29/20,1,1,1,1,1
7/30/20,1,2,1,0,0
7/31/20,1,1,0,1,0
8/1/20,2,3,0,1,0
8/2/20,0,2,0,0,0
8/3/20,1,0,0,1,0
8/4/20,1,1,1,1,0
8/5/20,1,0,2,3,0
8/6/20,1,2,1,1,0
8/7/20,0,0,0,2,0
8/8/20,0,1,3,0,0
8/9/20,1,0,0,2,0
8/10/20,1,1,1,2,0
8/11/20,0,1,2,1,0
8/12/20,1,0,0,0,0
8/13/20,1,2,0,0,0
8/14/20,1,0,1,0,1
8/15/20,2,1,1,0,0
8/16/20,2,1,0,2,0
8/17/20,0,1,1,2,1
8/18/20,1,0,0,0,0
8/19/20,0,1,0,0,0
8/20/20,2,3,0,1,0
8/21/20,0,0,0,3,0
8/22/20,0,2,1,1,1
8/23/20,2,0,1,0,0
8/24/20,5,1,1,0,1
8/25/20,2,2,0,0,0
8/26/20,1,1,1,3,0
8/27/20,1,0,0,0,0
8/28/20,3,0,1,1,0
8/29/20,1,1,0,0,0
8/30/20,2,1,0,1,0
8/31/20,1,0,0,0,0
9/1/20,1,0,0,1,1
9/2/20,0,2,1,1,0
9/3/20,2,2,0,1,0
9/4/20,1,1,1,2,0
9/5/20,0,3,0,0,0
9/6/20,2,2,1,2,0
9/7/20,0,0,0,1,0
9/8/20,1,1,0,0,0
9/9/20,1,0,0,0,0
9/10/20,1,1,0,1,0
9/11/20,2,2,0,0,0
9/12/20,1,0,0,3,0
9/13/20,0,2,0,1,0
9/14/20,1,2,0,2,0
9/15/20,2,0,0,1,0
9/16/20,1,0,1,3,1
9/17/20,1,1,0,2,0
9/18/20,1,2,0,0,0
9/19/20,1,2,1,1,0
9/20/20,0,3,1,1,0
9/21/20,1,1,1,0,0
9/22/20,0,3,0,0,0
9/23/20,1,1,1,0,1
9/24/20,0,1,2,0,0
9/25/20,2,0,1,1,0
9/26/20,3,1,0,1,0
9/27/20,0,2,0,0,0
9/28/20,1,1,0,1,0
9/29/20,3,2,0,2,0
9/30/20,3,4,1,0,0
10/1/20,0,1,0,4,0
10/2/20,0,1,0,2,0
10/3/20,1,1,0,2,1
10/4/20,0,3,0,3,1
10/5/20,0,0,0,0,0
10/6/20,0,2,0,1,0
10/7/20,1,1,1,1,0
10/8/20,1,3,0,2,0
10/9/20,1,0,0,1,0
10/10/20,1,0,0,2,1
10/11/20,2,2,2,1,0
10/12/20,1,1,4,1,1
10/13/20,0,3,0,1,0
10/14/20,2,3,0,1,0
10/15/20,1,2,2,3,0
10/16/20,1,3,2,1,0
10/17/20,1,3,0,2,0
10/18/20,2,1,0,0,1
10/19/20,0,6,0,0,1
10/20/20,0,2,1,3,0
10/21/20,0,3,1,0,1
10/22/20,0,2,0,1,0
10/23/20,1,0,1,1,1
10/24/20,0,0,0,1,0
10/25/20,2,3,2,1,1
10/26/20,0,2,1,1,0
10/27/20,3,3,1,1,0
10/28/20,0,3,0,0,1
10/29/20,0,2,1,1,0
10/30/20,1,4,2,1,2
10/31/20,0,2,0,2,0
11/1/20,0,9,0,2,1
11/2/20,1,7,1,1,0
11/3/20,2,6,2,2,0
11/4/20,0,7,0,1,1
11/5/20,3,4,0,2,0
11/6/20,4,2,0,3,1
11/7/20,1,5,2,4,1
11/8/20,2,2,0,2,1
11/9/20,0,1,0,3,0
11/10/20,2,2,2,1,0
11/11/20,1,2,3,2,1
11/12/20,4,6,2,2,2
11/13/20,1,1,1,1,1
11/14/20,1,5,1,1,1
11/15/20,2,6,1,1,4
11/16/20,1,2,4,1,2
11/17/20,1,3,0,4,2
11/18/20,0,4,0,4,2
11/19/20,1,6,1,1,0
11/20/20,2,2,0,2,1
11/21/20,1,3,3,0,4
11/22/20,4,1,0,4,1
11/23/20,0,7,1,4,1
11/24/20,2,2,5,4,3
11/25/20,2,4,2,1,4
11/26/20,1,3,1,0,2
11/27/20,1,3,2,4,5
11/28/20,4,3,3,2,1
11/29/20,3,3,1,4,4
11/30/20,5,4,1,6,2
12/1/20,1,3,2,5,9
12/2/20,5,10,2,6,4
12/3/20,0,4,7,4,3
12/4/20,5,6,2,6,6
12/5/20,3,6,2,8,4
12/6/20,2,4,2,11,2
12/7/20,2,7,2,6,2
12/8/20,4,8,1,5,4
12/9/20,4,9,2,7,5
12/10/20,7,2,5,9,2
12/11/20,3,8,2,10,7
12/12/20,5,9,3,9,8
12/13/20,4,5,7,3,6
12/14/20,4,6,3,13,4
12/15/20,2,11,4,9,6
12/16/20,8,15,3,9,4
12/17/20,7,6,6,10,5
12/18/20,7,13,3,12,4
12/19/20,6,9,4,8,4
12/20/20,4,5,7,6,7
12/21/20,5,7,10,16,3
12/22/20,8,16,7,12,10
12/23/20,7,13,7,7,5
12/24/20,6,9,5,15,4
12/25/20,6,12,6,8,7
12/26/20,8,9,7,11,1
12/27/20,4,14,9,6,9
12/28/20,8,13,4,11,7
12/29/20,9,15,8,9,9
12/30/20,4,16,5,11,4
12/31/20,4,21,3,10,3
1/1/21,9,17,2,6,3
1/2/21,13,17,5,13,8
1/3/21,8,11,5,9,5
1/4/21,9,24,6,14,8
1/5/21,12,22,9,18,5
1/6/21,13,19,2,20,6
1/7/21,4,18,13,10,7
1/8/21,10,14,10,19,8
1/9/21,16,22,11,19,5
1/10/21,9,17,3,19,4
1/11/21,7,12,6,31,2
1/12/21,9,29,9,21,5
1/13/21,4,22,7,28,6
1/14/21,6,22,7,25,5
1/15/21,13,10,12,19,9
1/16/21,12,20,5,27,2
1/17/21,8,24,6,16,2
1/18/21,17,22,9,20,6
1/19/21,12,28,11,24,6
1/20/21,7,27,9,25,7
1/21/21,11,20,12,16,4
1/22/21,12,31,9,24,3
1/23/21,12,28,9,19,10
1/24/21,9,20,9,23,6
1/25/21,10,19,12,17,7
1/26/21,9,30,12,26,2
1/27/21,12,30,23,21,5
1/28/21,20,16,16,27,7
1/29/21,19,26,9,28,6
1/30/21,14,27,9,24,4
1/31/21,7,27,10,24,6
2/1/21,12,22,5,22,3
2/2/21,13,30,7,21,6
2/3/21,15,20,13,21,7
2/4/21,21,26,15,26,3
2/5/21,14,32,11,20,4
2/6/21,12,26,9,23,7
2/7/21,21,19,15,22,3
2/8/21,20,24,16,18,5
2/9/21,10,25,12,21,3
2/10/21,21,21,9,23,5
2/11/21,22,30,13,26,5
2/12/21,13,26,10,26,6
2/13/21,14,25,12,25,5
2/14/21,13,29,16,19,3
2/15/21,15,26,14,22,5
2/16/21,17,32,6,27,3
2/17/21,25,23,5,25,3
2/18/21,8,20,8,16,2
2/19/21,9,17,11,20,0
2/20/21,20,19,9,14,7
2/21/21,18,16,5,17,3
2/22/21,12,27,12,18,5
2/23/21,18,20,12,20,2
2/24/21,14,22,19,16,8
2/25/21,19,21,12,19,3
2/26/21,12,15,17,23,4
2/27/21,8,28,8,19,2
2/28/21,11,23,10,23,2
3/1/21,4,22,8,23,5
3/2/21,11,15,5,18,5
3/3/21,20,15,16,17,4
3/4/21,11,15,10,21,5
3/5/21,8,18,11,13,5
3/6/21,13,13,12,15,3
3/7/21,10,22,10,16,3
3/8/21,16,18,11,19,7
3/9/21,17,18,11,24,1
3/10/21,17,19,7,14,5
3/11/21,15,20,5,13,5
3/12/21,17,26,13,18,1
3/13/21,12,22,7,18,5
3/14/21,9,15,3,14,1
3/15/21,8,17,12,5,5
3/16/21,14,20,8,18,6
3/17/21,9,7,13,14,4
3/18/21,12,18,12,16,3
3/19/21,10,8,9,15,2
3/20/21,4,16,9,17,4
3/21/21,7,13,10,18,3
3/22/21,16,21,6,11,3
3/23/21,8,16,10,16,4
3/24/21,5,13,4,16,4
3/25/21,13,24,10,20,3
3/26/21,12,23,5,18,6
3/27/21,15,16,10,11,2
3/28/21,10,15,7,19,6
3/29/21,15,12,6,16,1
3/30/21,6,14,2,17,2
3/31/21,7,24,8,16,6
4/1/21,14,18,6,16,3
4/2/21,9,23,7,14,2
4/3/21,8,18,6,16,0
4/4/21,11,13,6,15,3
4/5/21,13,10,7,18,5
4/6/21,7,17,4,15,4
4/7/21,5,10,7,14,8
4/8/21,14,20,7,10,3
4/9/21,9,26,8,10,1
4/10/21,6,14,7,18,3
4/11/21,5,21,7,17,2
4/12/21,7,16,5,11,1
4/13/21,5,13,5,11,3
4/14/21,6,11,6,11,1
4/15/21,7,11,7,10,5
4/16/21,3,14,2,9,2
4/17/21,4,18,5,8,1
4/18/21,2,16,7,7,2
4/19/21,6,15,4,12,3
4/20/21,6,14,2,12,2
4/21/21,3,11,3,17,0
4/22/21,5,19,3,10,3
4/23/21,12,10,7,15,2
4/24/21,3,10,5,9,1
4/25/21,7,5,2,9,2
4/26/21,5,15,3,7,1
4/27/21,5,7,5,7,2
4/28/21,4,12,4,8,0
4/29/21,6,8,2,9,1
4/30/21,7,12,5,9,3
5/1/21,4,7,5,6,2
5/2/21,0,11,3,8,2
5/3/21,3,4,2,3,4
5/4/21,1,4,0,2,4